regime,M,aoi_mean,aoi_std,rho,unstable_frac
limited,1,47.320833963018636,1.9484507074697661,0.16512385105290656,0.0
limited,2,32.25857911159139,0.8471862611674009,0.3210368162396213,0.0
limited,3,28.085403164928646,0.6762091767285564,0.45912325334165704,0.0
limited,4,27.361165456414074,0.3880653392845066,0.5731827445191559,0.0
limited,5,28.639076522211116,0.29227557089576284,0.6616264840916067,0.0
limited,6,30.976701653360855,0.276025191760769,0.7274520456114277,0.0
limited,7,33.97497085151921,0.2570257408637215,0.7757844352810462,0.0
limited,8,37.57810156182286,0.19306849169583712,0.8115304725607612,0.0
limited,9,41.38679839386669,0.22545560709229331,0.8384524035655698,0.0
limited,10,45.49728084874987,0.2119637348658508,0.8591779441258552,0.0
limited,11,49.839485537216675,0.19296223316317762,0.875486373987804,0.0
limited,12,54.24186016275208,0.15717629498275046,0.8885815205221872,0.0
limited,13,58.74891750629611,0.16580975906784648,0.8992885612315259,0.0
limited,14,63.32363882181198,0.1427315577297683,0.9081837930225467,0.0
rich,1,47.0405324315004,1.9484507074697661,0.03333333333281589,0.0
rich,2,31.109503699649412,0.8471862611674008,0.06666666666017382,0.0
rich,3,25.414437725147543,0.6762091767285562,0.09999999958371611,0.0
rich,4,22.468281455601677,0.38806533928450654,0.13333332570060002,0.0
rich,5,20.853418904461023,0.2922755708957632,0.16666659780259369,0.0
rich,6,19.736929528883515,0.276025191760769,0.19999960219664076,0.0
rich,7,18.859562892357136,0.25702574086372093,0.23333164187328684,0.0
rich,8,18.289164137351122,0.19306849169583712,0.26666091283341997,0.0
rich,9,17.718141457980202,0.22545560709229337,0.29998347527332136,0.0
rich,10,17.30586025075868,0.21196373486585107,0.33329176279915773,0.0
rich,11,17.024959371554846,0.19296223316317693,0.3665726214472649,0.0
rich,12,16.73315008735161,0.15717629498275026,0.39980491141756025,0.0
rich,13,16.495654393457592,0.16580975906784676,0.4329567325599097,0.0
rich,14,16.290785504125772,0.14273155772976923,0.4659823536271581,0.0
split,1,51.182668055110526,1.9484507074697668,0.29289321880759017,0.0
split,2,35.25163932044654,0.8471862611674015,0.29289321880759017,0.0
split,3,35.41443759997008,0.6762091767285564,0.499999999999505,0.0
split,4,32.468279738224794,0.3880653392845068,0.499999999999505,0.0
split,5,30.853406509023678,0.2922755708957629,0.499999999999505,0.0
split,6,37.05737793412902,0.2760251917607697,0.63397459621711,0.0
split,7,44.474873545149855,0.2570257408637215,0.7192235935937898,0.0
split,8,43.904044945010284,0.19306849169583712,0.7192235935937898,0.0
split,9,43.332017022150964,0.22545560709229331,0.7192235935937898,0.0
split,10,51.79701586415483,0.2119637348658508,0.7752551286095241,0.0
split,11,60.740076021411696,0.19296223316317718,0.8138593383656436,0.0
split,12,60.44132453670227,0.15717629498275046,0.8138593383656436,0.0
split,13,60.1923725863105,0.16580975906784648,0.8138593383656436,0.0
split,14,69.41297725119833,0.14273155772976975,0.8416876048205053,0.0
