seed,proposed,no_cetsp,coverage,roundrobin,single_station
0,1347.3575877598291,1460.5125399136487,1588.375197770251,1680.8237990699438,1281.5020825428637
1,1403.2495008388894,1498.0548811756667,1786.9891723667401,1712.5733706307176,1350.1013424598157
2,1386.9723138215168,1465.9317264247818,1665.1487911227716,1793.9918761172362,1389.4127238701149
3,1340.1120160698667,1420.2122089332283,1452.6942191735864,1673.6052087789199,1254.2669122959692
4,1420.7211860157888,1548.1444839456299,1773.08177020493,1770.933784345812,1436.69910879509
5,1417.1203018248257,1497.1091991821406,1820.4104131522624,1680.9691061147198,1419.2041180903036
6,1399.4471107946274,1472.5984279693023,1754.7896147676,1684.2942275873786,1329.4394182409078
7,1406.7625246656703,1484.4639627365766,1953.0662871745903,1668.6012238641285,1356.0377372453488
8,1348.8023888773323,1457.2107380465497,1759.120705717961,1738.607934900012,1274.1001702080434
9,1355.959740217418,1467.6964289561274,1549.6706996428402,1758.900759644386,1333.2139733064698
10,1406.239446349297,1490.6591650727867,1615.2663638417798,1652.8360370280966,1314.3953360394428
11,1397.0552793267207,1493.994171580975,1487.804765617777,1579.7620468081823,1349.0313844431248
12,1392.472675459344,1549.067327087637,1684.4927216422197,1889.3820978849053,1431.2088342136567
13,1393.9490090218426,1497.8121755549855,1790.4855275517514,1665.8350821364263,1338.9580455492764
14,1383.2249385744444,1491.8251019816807,1441.851911589827,1600.100481608867,1318.9263743557135
15,1342.3613871109824,1435.8315555858646,1401.0167985350388,1571.1744261478166,1281.525388485607
16,1320.7268928431567,1423.461434875521,1636.030511903568,1614.8336531505686,1257.4614483324435
17,1409.07757186123,1504.590684381446,1505.5287799718417,1845.2900860684663,1370.4700673897755
18,1291.240949887348,1382.1350901733929,1422.1483450416101,1554.6605908223212,1246.8289430133927
19,1359.8168714205935,1466.4172261257784,1808.8640795188762,1671.3881876411663,1236.267985754257
